packets_per_second,avg_request_rate,failed_connections,unique_ports,bytes_per_packet,connection_duration,payload_entropy,label
21,3.09,1,3,353.18,4.22,3.99,normal
15,2.96,0,1,365.87,1.78,5.51,normal
14,2.24,1,1,557.92,8.55,5.63,normal
1,1.55,2,3,514.06,6.45,4.47,normal
49,0.5,0,3,430.9,9.1,4.14,normal
31,1.47,0,4,449.42,2.92,3.71,normal
54,1.49,2,1,320.95,6.7,4.54,normal
40,1.29,2,2,228.56,3.18,3.93,normal
22,3.03,3,4,297.68,4.44,5.0,normal
13,2.76,2,4,261.13,7.64,5.77,normal
30,1.67,1,1,465.62,3.78,5.2,normal
16,0.69,1,4,431.55,1.38,5.83,normal
17,2.16,2,3,298.18,3.93,4.75,normal
0,0.52,0,2,296.53,7.17,4.22,normal
10,1.37,3,1,526.02,3.04,3.8,normal
31,1.13,2,5,446.06,2.09,5.46,normal
39,1.05,1,3,283.29,4.61,3.67,normal
4,1.39,0,1,506.32,8.49,6.09,normal
40,1.31,1,4,395.81,6.93,3.79,normal
12,2.27,1,1,247.43,3.8,4.39,normal
47,1.13,1,2,195.88,4.71,3.77,normal
38,3.11,0,2,543.92,4.45,4.12,normal
7,2.32,1,1,463.89,6.32,4.27,normal
42,3.07,1,4,330.52,9.25,5.27,normal
2,0.62,1,2,438.81,5.53,5.81,normal
37,1.58,3,1,268.15,4.97,4.03,normal
36,2.44,2,2,480.56,8.32,4.81,normal
23,0.84,2,3,173.16,0.53,5.43,normal
19,1.49,0,3,461.98,3.46,5.36,normal
5,1.45,0,4,420.56,6.18,4.55,normal
28,2.94,3,1,279.75,2.13,6.23,normal
22,1.82,3,3,302.05,2.12,3.29,normal
40,1.05,1,4,431.43,6.82,4.54,normal
17,1.02,2,1,393.66,11.15,4.08,normal
0,3.28,1,3,373.35,4.51,4.65,normal
28,2.15,1,1,616.64,5.0,4.92,normal
27,1.09,1,3,242.05,5.95,5.38,normal
30,2.91,0,4,402.13,2.81,5.46,normal
21,1.23,0,3,437.75,10.33,5.78,normal
36,0.88,1,2,409.24,7.55,5.01,normal
21,2.82,0,3,355.5,9.15,4.37,normal
26,0.67,2,1,372.41,8.93,5.51,normal
38,1.54,3,1,560.77,7.91,4.0,normal
28,3.2,2,1,421.46,8.23,4.53,normal
9,3.11,0,1,617.46,7.16,5.69,normal
0,0.56,0,4,303.08,7.81,3.83,normal
18,1.29,1,4,612.75,8.07,4.88,normal
36,1.57,3,2,520.17,7.45,5.52,normal
32,1.02,3,3,185.19,3.61,4.81,normal
34,0.93,0,1,309.9,2.3,6.02,normal
33,0.57,1,3,231.14,1.78,5.53,normal
38,3.45,1,5,127.09,3.37,5.44,normal
19,3.23,4,2,360.59,7.84,3.44,normal
36,0.77,0,1,541.99,3.38,3.64,normal
7,3.08,3,5,575.23,5.96,4.44,normal
2,3.39,3,4,386.69,7.15,5.01,normal
26,3.27,2,3,413.79,4.4,5.53,normal
2,2.29,2,2,355.63,5.56,5.92,normal
25,3.48,2,2,394.45,0.31,4.41,normal
40,1.32,0,3,515.71,8.13,4.77,normal
29,3.4,2,3,308.43,4.37,3.22,normal
38,1.12,3,4,493.06,7.64,4.82,normal
17,1.65,3,1,517.98,8.5,3.83,normal
32,3.03,3,3,597.14,4.25,4.36,normal
16,1.07,2,3,379.99,1.27,5.67,normal
8,1.8,0,3,252.19,2.54,4.05,normal
32,1.95,3,2,583.46,7.59,5.47,normal
45,3.55,2,3,444.47,8.78,5.03,normal
36,3.54,0,4,263.13,7.9,4.92,normal
15,1.37,0,2,343.66,5.42,5.02,normal
8,1.91,2,4,536.44,1.49,4.47,normal
28,2.0,3,2,495.92,4.93,5.55,normal
5,2.56,1,2,550.2,8.39,4.91,normal
3,2.46,3,3,501.59,7.67,4.17,normal
51,2.84,2,3,461.6,8.14,5.27,normal
22,3.51,3,3,551.04,6.09,4.9,normal
25,1.55,3,3,580.31,4.91,5.01,normal
20,1.62,3,4,194.45,2.69,4.22,normal
47,1.6,2,4,193.81,2.23,4.97,normal
5,3.19,2,3,315.03,6.02,4.35,normal
3,1.62,1,1,230.73,1.73,5.05,normal
36,2.04,2,2,513.03,9.27,4.07,normal
4,3.67,2,4,425.36,1.45,6.06,normal
38,3.28,3,1,265.82,6.9,4.55,normal
3,1.54,3,4,466.31,6.44,5.01,normal
15,3.41,3,4,615.54,6.45,4.07,normal
5,1.56,0,1,220.57,4.42,5.72,normal
4,1.84,0,4,478.88,2.51,5.86,normal
43,1.16,0,2,191.42,7.02,4.93,normal
20,3.13,3,3,606.75,6.64,5.13,normal
43,1.15,2,4,251.97,2.29,4.2,normal
18,1.49,3,1,160.93,5.25,4.0,normal
45,2.0,3,1,246.87,2.83,5.66,normal
9,3.13,2,4,539.88,1.48,5.62,normal
37,0.47,0,3,406.36,7.65,5.67,normal
25,3.49,2,2,411.88,5.56,3.84,normal
5,2.34,0,0,468.42,6.96,4.32,normal
6,3.26,2,0,224.02,10.46,4.6,normal
30,1.76,2,1,351.43,7.03,3.87,normal
19,0.97,3,4,438.77,5.07,4.24,normal
43,1.98,1,4,409.61,7.49,5.13,normal
40,2.95,3,3,426.17,9.06,4.42,normal
34,2.62,0,1,287.2,8.94,4.33,normal
1,3.26,0,2,234.84,2.57,5.66,normal
27,2.28,1,2,433.46,8.33,4.52,normal
26,0.63,2,4,402.88,9.24,4.5,normal
19,3.36,3,2,397.69,8.38,5.52,normal
15,0.28,0,3,463.24,2.49,6.01,normal
38,1.05,1,3,381.68,7.04,5.14,normal
21,1.31,3,4,184.62,7.43,4.81,normal
24,0.88,1,1,406.31,0.29,5.43,normal
5,0.51,0,2,541.99,3.46,4.99,normal
26,1.28,3,3,478.62,5.7,4.17,normal
33,1.99,3,4,420.58,0.71,4.91,normal
33,0.64,1,1,470.01,6.31,4.17,normal
44,1.16,3,4,465.75,7.33,4.96,normal
47,2.08,2,3,436.56,5.66,3.73,normal
27,2.77,1,4,363.82,2.94,5.28,normal
4,1.05,3,4,393.85,8.46,5.86,normal
29,3.39,2,4,259.12,7.91,4.3,normal
27,3.45,2,4,492.05,7.02,3.98,normal
4,0.8,1,2,483.9,7.49,5.0,normal
36,2.39,1,4,417.85,5.62,4.2,normal
39,2.13,3,2,437.28,9.15,4.86,normal
26,0.79,3,2,207.33,3.17,3.56,normal
42,1.97,0,4,449.88,4.56,3.96,normal
28,1.37,1,3,280.33,8.94,4.7,normal
43,1.6,1,2,513.03,4.97,4.49,normal
42,3.29,3,1,488.56,4.72,5.98,normal
25,0.81,2,2,221.82,8.32,5.26,normal
27,3.49,2,4,313.78,6.86,4.91,normal
0,1.82,0,4,508.32,3.69,4.5,normal
17,1.53,3,2,318.79,10.37,4.08,normal
18,1.19,2,4,494.65,7.21,3.93,normal
2,3.38,0,3,616.45,7.33,4.91,normal
50,1.44,1,2,293.04,6.8,5.76,normal
43,1.74,1,3,232.56,6.94,4.99,normal
42,1.02,3,3,334.36,3.95,5.74,normal
18,2.31,2,2,216.77,7.93,4.29,normal
26,1.48,3,3,477.71,5.18,4.19,normal
4,0.67,2,3,404.98,3.62,4.53,normal
44,3.19,0,0,380.53,7.3,5.16,normal
33,3.51,2,1,480.61,11.93,3.93,normal
14,1.99,2,1,559.72,4.95,4.75,normal
26,2.33,1,2,340.25,11.13,6.03,normal
21,0.39,0,1,406.99,0.0,5.43,normal
18,1.58,0,1,365.32,1.43,4.56,normal
45,2.52,3,1,215.2,9.07,4.31,normal
19,2.12,1,2,549.3,6.11,4.13,normal
37,1.51,1,2,456.2,8.1,5.68,normal
44,0.84,2,2,403.95,4.38,4.73,normal
31,0.69,0,3,286.06,4.41,3.1,normal
0,0.98,2,1,265.92,3.38,4.61,normal
20,2.68,0,1,252.65,3.25,5.99,normal
10,1.44,1,1,457.34,8.18,3.61,normal
25,1.31,3,4,240.46,3.07,3.92,normal
20,3.04,1,0,369.07,10.21,4.45,normal
36,3.0,3,4,581.75,5.72,5.53,normal
30,2.44,3,2,293.42,2.39,5.04,normal
28,1.49,1,3,250.03,3.88,4.88,normal
42,2.32,3,3,483.91,4.9,4.02,normal
15,2.94,0,3,263.7,9.05,5.47,normal
8,2.52,1,2,266.37,7.15,5.47,normal
17,1.78,2,3,467.04,4.67,3.68,normal
8,1.02,2,4,377.86,5.02,5.95,normal
18,1.1,3,1,373.06,2.08,4.04,normal
13,3.04,0,4,476.85,1.99,5.87,normal
2,1.8,0,3,480.75,5.51,4.59,normal
13,3.27,0,3,308.7,9.79,4.55,normal
35,1.89,3,1,226.76,3.94,3.86,normal
42,2.83,0,1,405.16,3.18,5.95,normal
29,2.52,2,4,283.63,8.8,5.61,normal
36,1.74,2,3,415.88,2.69,4.53,normal
27,3.69,0,3,405.56,2.58,5.46,normal
26,1.6,0,3,618.84,4.47,4.22,normal
23,1.27,0,4,521.4,7.4,4.36,normal
23,3.51,0,2,262.7,4.07,6.3,normal
31,2.11,4,2,497.03,7.99,4.05,normal
45,0.6,2,2,229.56,8.49,4.17,normal
37,2.84,0,2,343.93,7.09,5.3,normal
30,2.22,0,1,444.12,7.48,5.58,normal
31,3.15,2,4,373.11,6.27,3.7,normal
20,3.75,1,1,384.56,2.61,3.95,normal
44,1.42,3,1,264.29,1.87,5.71,normal
4,3.04,0,3,275.71,2.43,6.42,normal
11,1.51,0,3,247.18,11.85,5.39,normal
23,3.32,1,1,381.16,5.5,3.76,normal
28,2.42,0,3,587.3,4.71,4.23,normal
10,0.53,0,2,491.75,3.76,5.22,normal
26,1.03,3,3,385.94,0.15,4.48,normal
42,2.14,0,1,484.11,8.17,5.39,normal
17,3.39,0,3,425.74,4.02,4.48,normal
39,1.3,1,1,190.98,1.36,4.1,normal
9,3.37,1,1,588.76,5.4,6.01,normal
21,1.78,1,4,389.08,10.5,4.95,normal
22,2.88,3,0,449.95,6.23,4.4,normal
5,0.62,1,3,374.77,3.12,4.92,normal
39,1.37,2,3,488.37,2.24,3.83,normal
14,3.26,3,2,397.66,3.49,4.23,normal
23,1.24,1,4,397.12,2.58,4.18,normal
3,2.08,1,4,310.63,2.25,5.45,normal
10,1.09,1,2,240.8,8.68,4.96,normal
39,0.71,1,2,508.05,10.56,5.5,normal
13,1.53,2,3,544.6,9.83,4.32,normal
19,1.27,3,3,313.0,2.24,4.87,normal
43,1.73,4,2,167.43,8.97,6.14,normal
35,2.83,2,4,442.18,7.24,6.28,normal
4,1.5,3,4,205.77,5.74,4.76,normal
43,2.76,3,2,491.43,0.8,4.94,normal
27,2.35,3,3,468.92,4.84,3.38,normal
41,2.88,2,1,590.85,3.74,3.85,normal
2,2.87,1,2,374.93,8.92,4.47,normal
44,2.79,0,1,562.47,5.93,4.94,normal
30,2.65,3,4,605.12,0.08,4.85,normal
23,0.62,0,3,408.01,7.12,6.21,normal
29,3.24,1,1,193.75,1.15,5.63,normal
45,2.45,0,3,414.96,9.49,5.56,normal
46,2.89,1,4,235.44,2.23,4.85,normal
8,1.22,2,1,328.83,4.91,5.72,normal
8,3.4,2,3,343.09,1.92,4.27,normal
13,1.78,0,3,302.24,1.32,3.69,normal
26,1.23,2,4,231.13,6.23,3.6,normal
33,2.07,3,1,482.4,2.62,4.94,normal
26,2.95,2,3,581.15,5.55,4.44,normal
39,1.41,0,2,261.5,2.73,4.88,normal
32,2.64,2,1,339.61,4.96,4.98,normal
7,2.18,1,4,379.02,1.76,4.37,normal
21,2.21,3,3,608.81,3.06,5.61,normal
42,3.42,1,2,444.26,8.36,3.91,normal
29,2.88,3,4,327.86,5.3,4.76,normal
36,0.55,2,3,513.73,5.26,5.33,normal
10,2.6,1,1,246.81,4.75,4.75,normal
46,3.02,0,2,384.63,1.33,4.37,normal
0,1.34,0,2,510.01,10.79,3.36,normal
24,2.24,3,4,340.83,2.29,3.96,normal
16,1.59,3,1,295.25,7.11,5.51,normal
20,1.73,3,3,564.5,3.77,6.31,normal
21,2.88,2,2,250.87,6.83,4.42,normal
5,1.69,3,4,366.18,4.67,4.56,normal
0,2.77,3,4,492.18,8.12,5.96,normal
36,1.88,1,2,227.74,6.84,5.51,normal
43,1.78,0,2,404.0,3.52,4.49,normal
21,2.03,1,1,373.43,8.65,4.92,normal
35,3.05,1,3,543.16,3.68,5.39,normal
24,2.78,1,4,420.79,8.16,4.22,normal
15,3.69,2,2,258.58,1.99,5.96,normal
43,0.47,2,1,411.33,2.58,3.92,normal
25,2.91,2,1,400.36,8.03,4.59,normal
40,1.02,2,1,391.14,8.63,5.39,normal
10,0.89,3,4,325.68,8.48,5.14,normal
31,0.62,3,2,276.78,9.92,5.7,normal
41,2.71,1,4,204.29,4.72,2.98,normal
20,2.65,3,4,435.32,4.28,4.48,normal
28,3.28,2,4,398.34,5.66,4.49,normal
42,0.19,1,4,513.02,6.68,5.31,normal
34,0.82,3,1,225.46,3.54,4.09,normal
34,2.47,2,2,259.41,8.48,3.58,normal
31,1.55,1,4,518.41,2.75,4.39,normal
0,1.6,2,2,501.03,9.82,3.86,normal
23,2.22,3,2,510.02,5.76,4.52,normal
36,3.32,1,4,574.37,8.5,5.64,normal
34,0.49,1,4,432.96,6.5,5.73,normal
1,0.65,1,1,201.47,10.67,4.62,normal
17,1.53,1,3,404.15,6.97,4.55,normal
32,1.97,0,4,441.28,7.97,3.69,normal
11,3.18,3,3,521.06,9.77,5.36,normal
14,2.68,1,1,526.31,11.69,5.14,normal
35,0.17,2,2,318.02,9.86,3.93,normal
9,1.1,1,2,334.71,3.65,3.26,normal
27,1.36,3,3,497.87,7.04,4.77,normal
29,1.31,1,1,591.41,3.1,4.9,normal
32,2.89,3,1,561.54,7.84,5.42,normal
11,3.27,0,1,538.97,3.41,4.04,normal
11,3.38,2,1,639.74,2.3,3.47,normal
15,3.22,0,2,174.6,3.11,5.2,normal
25,2.33,3,2,403.48,8.29,4.12,normal
8,0.19,2,2,190.7,7.99,6.46,normal
40,0.84,0,2,273.06,7.56,4.04,normal
6,0.74,3,2,386.31,3.87,4.26,normal
32,3.37,0,2,473.65,6.79,5.53,normal
13,1.52,1,4,250.38,5.89,3.01,normal
26,1.41,0,1,631.24,2.99,4.04,normal
45,2.14,1,3,462.21,2.32,4.88,normal
31,1.27,1,1,504.79,5.38,5.92,normal
17,0.13,2,3,368.16,3.7,5.25,normal
33,1.1,2,3,361.24,6.96,4.37,normal
50,1.37,0,1,443.55,1.14,3.55,normal
27,2.56,0,2,392.67,6.17,5.26,normal
24,3.04,1,1,622.04,6.53,5.72,normal
0,3.38,0,2,447.41,8.54,3.48,normal
1,3.18,1,3,447.69,9.35,5.65,normal
38,2.67,0,4,450.12,1.93,3.92,normal
39,2.13,2,4,295.42,1.17,4.85,normal
23,1.51,1,4,393.69,7.14,4.14,normal
21,2.76,2,3,315.64,3.84,3.93,normal
35,2.56,0,4,307.42,10.78,5.16,normal
38,1.37,0,2,424.46,2.02,3.88,normal
24,0.34,0,1,391.63,6.14,4.37,normal
20,2.44,2,1,212.05,8.49,4.36,normal
14,3.05,1,3,385.57,9.11,5.27,normal
38,2.27,0,2,479.18,7.05,4.03,normal
9,0.79,2,3,412.09,3.05,5.48,normal
26,0.49,2,3,463.96,4.22,3.41,normal
2,2.9,3,2,489.95,0.78,3.42,normal
39,2.55,2,1,573.2,6.32,4.57,normal
3,0.81,0,4,369.74,2.24,5.47,normal
33,2.63,0,4,597.91,4.26,3.61,normal
19,2.86,1,4,346.39,10.2,5.71,normal
42,1.66,3,1,412.58,2.94,3.83,normal
1,2.82,3,3,200.53,8.48,4.2,normal
17,2.7,2,4,147.36,1.13,4.44,normal
20,1.71,3,3,336.29,5.38,4.73,normal
5,2.59,0,2,516.88,2.02,4.8,normal
6,0.79,2,1,479.45,5.13,4.72,normal
31,2.62,0,2,362.16,9.43,4.95,normal
17,2.61,2,2,419.23,2.22,4.62,normal
37,1.69,3,2,566.33,4.61,5.14,normal
18,0.49,3,4,441.38,8.77,4.05,normal
26,2.31,2,3,454.97,4.97,4.23,normal
40,2.04,1,4,300.57,3.83,5.47,normal
8,3.03,1,4,233.3,4.0,4.85,normal
17,1.81,0,2,590.87,7.99,4.79,normal
30,2.98,4,4,306.26,10.9,5.1,normal
15,0.88,3,1,191.84,9.36,3.93,normal
23,3.32,1,1,479.28,2.1,3.89,normal
41,2.2,0,4,357.56,1.98,6.16,normal
12,0.69,1,3,305.65,1.73,3.96,normal
16,0.97,0,2,205.51,0.77,6.17,normal
6,2.66,2,4,287.67,6.28,4.37,normal
25,3.05,2,4,355.18,1.78,5.99,normal
49,0.94,3,1,191.29,1.6,4.79,normal
37,3.11,2,1,455.67,6.17,5.31,normal
32,3.93,0,1,202.74,8.81,5.74,normal
31,2.54,0,4,576.73,8.79,5.25,normal
6,3.09,1,2,349.76,11.36,3.63,normal
32,0.41,0,1,279.09,6.46,4.26,normal
6,1.4,0,1,322.74,2.85,3.91,normal
42,3.41,0,1,331.44,1.58,4.2,normal
4,3.03,0,1,273.07,5.17,4.45,normal
7,0.87,2,4,531.21,5.24,5.71,normal
0,1.5,2,2,276.51,0.16,3.98,normal
25,2.0,2,4,484.6,1.89,4.47,normal
31,0.26,2,4,277.58,6.78,4.73,normal
0,2.95,0,4,270.84,3.18,4.22,normal
35,0.87,1,3,586.97,6.18,4.56,normal
13,2.55,0,1,541.85,2.28,5.44,normal
44,0.75,3,4,574.38,5.04,5.8,normal
6,2.98,1,4,424.75,3.9,5.15,normal
37,3.01,2,3,276.33,5.55,3.98,normal
35,3.05,2,2,592.69,8.83,5.59,normal
12,3.33,2,1,240.04,1.33,4.32,normal
39,0.98,3,4,601.55,5.69,3.75,normal
26,2.14,1,1,498.95,6.39,4.22,normal
24,1.59,1,1,556.34,2.84,3.21,normal
34,3.65,2,1,356.12,9.51,4.4,normal
10,2.88,1,1,442.18,6.66,5.38,normal
0,1.11,0,1,499.44,6.31,5.83,normal
0,1.31,0,2,311.9,6.54,5.81,normal
37,2.31,3,1,467.34,8.34,5.65,normal
22,0.59,1,1,538.89,1.25,3.54,normal
36,2.24,2,3,547.02,7.09,4.99,normal
7,2.7,3,3,425.78,8.89,4.73,normal
12,2.63,3,4,388.21,3.04,3.68,normal
13,2.71,0,4,239.83,5.1,6.1,normal
12,3.11,0,4,337.77,6.49,5.8,normal
20,1.36,0,2,454.09,3.55,4.61,normal
14,2.26,2,2,401.64,3.37,3.57,normal
31,1.02,0,1,450.31,5.24,5.22,normal
30,2.13,2,1,256.85,7.47,3.9,normal
14,2.42,0,3,394.55,6.47,5.96,normal
15,2.08,4,2,489.68,5.48,5.47,normal
22,2.95,0,1,501.55,6.35,5.14,normal
48,0.7,2,3,248.39,5.35,6.27,normal
29,2.29,0,2,404.64,3.09,3.56,normal
33,3.08,1,2,614.86,4.24,4.95,normal
22,0.34,0,3,426.96,3.19,4.05,normal
23,3.21,1,1,369.65,5.2,5.72,normal
37,0.02,0,3,226.45,1.28,5.5,normal
9,0.56,1,2,345.13,5.5,5.05,normal
28,2.76,1,4,465.2,9.16,4.51,normal
2,0.69,0,1,471.5,5.68,5.55,normal
14,3.11,0,4,548.54,4.42,4.54,normal
15,1.06,3,1,244.23,6.93,4.86,normal
21,0.89,0,4,501.69,3.93,4.21,normal
39,2.13,3,2,327.66,9.52,4.69,normal
6,2.06,0,1,237.2,4.81,3.84,normal
25,1.94,3,3,480.38,3.97,4.97,normal
20,2.8,0,4,519.51,2.83,4.89,normal
15,1.88,0,3,528.17,4.07,5.01,normal
38,0.93,3,3,358.2,7.4,5.64,normal
24,1.44,1,3,274.92,4.66,5.54,normal
24,1.38,3,4,491.44,8.71,5.48,normal
18,2.43,3,1,553.94,10.97,4.87,normal
19,2.56,0,4,280.42,8.8,3.89,normal
11,1.15,2,4,492.87,1.64,3.18,normal
13,1.2,0,4,264.07,9.28,3.54,normal
30,1.88,1,3,282.94,6.09,3.29,normal
6,3.1,3,3,444.55,6.23,4.6,normal
0,1.45,0,1,275.74,9.01,5.68,normal
13,0.76,3,2,411.51,2.66,5.78,normal
20,1.36,3,3,455.6,6.75,3.8,normal
45,3.06,2,4,350.13,6.17,4.73,normal
9,2.45,1,3,427.62,7.88,5.15,normal
18,2.83,3,2,372.85,8.56,3.8,normal
10,2.63,0,1,548.44,1.13,5.84,normal
12,3.08,3,3,389.43,8.83,5.28,normal
40,2.84,0,2,226.4,6.96,4.73,normal
23,1.37,2,4,658.51,4.95,5.23,normal
27,1.69,3,4,457.54,2.39,4.45,normal
13,3.49,3,4,356.87,2.34,4.46,normal
34,1.04,0,3,468.95,2.1,5.22,normal
19,2.75,3,3,438.87,6.58,6.45,normal
34,2.71,0,3,478.15,2.74,4.24,normal
14,2.15,1,3,404.35,11.42,3.84,normal
19,1.47,1,4,280.63,8.57,5.13,normal
16,1.24,1,2,489.12,7.72,5.72,normal
20,1.2,0,2,453.0,2.25,5.02,normal
4,4.1,0,1,399.77,7.34,3.3,normal
28,3.24,1,4,495.45,6.13,4.81,normal
9,3.47,2,2,440.34,1.27,5.25,normal
21,1.19,3,3,205.0,8.22,4.94,normal
49,1.94,1,3,256.63,5.12,6.09,normal
35,2.69,2,1,384.67,6.23,4.14,normal
43,2.12,0,4,426.37,3.76,4.17,normal
21,3.05,3,4,531.3,3.15,4.1,normal
7,2.56,1,2,568.65,1.51,4.89,normal
7,1.19,2,1,500.95,7.02,4.12,normal
44,1.5,0,1,391.18,7.78,5.11,normal
31,2.74,2,3,409.23,8.31,4.47,normal
23,1.71,2,4,352.68,2.54,4.97,normal
33,1.29,3,4,341.51,6.54,4.08,normal
6,2.07,2,2,312.98,2.46,4.54,normal
46,3.38,1,4,220.69,3.84,3.55,normal
40,0.97,3,2,331.78,6.2,4.57,normal
22,1.15,3,1,273.19,5.34,4.17,normal
18,1.93,0,4,635.78,4.18,4.02,normal
15,3.82,0,4,513.57,2.34,5.53,normal
48,0.55,2,4,409.88,4.81,4.19,normal
7,1.29,3,1,265.93,5.73,4.56,normal
23,2.81,0,1,303.97,2.29,3.72,normal
5,2.35,2,3,506.45,5.08,4.22,normal
0,3.45,3,2,378.53,4.7,5.63,normal
21,0.52,2,1,379.58,0.33,4.88,normal
10,3.07,0,4,459.61,5.35,3.7,normal
10,1.8,0,3,516.94,3.36,5.48,normal
29,2.84,1,2,484.49,3.34,5.9,normal
38,1.94,1,4,320.77,8.97,4.16,normal
40,2.57,0,2,388.63,3.64,3.37,normal
24,1.12,2,1,405.08,3.23,3.29,normal
7,1.15,0,2,490.27,3.44,4.61,normal
46,1.92,0,4,434.98,7.02,4.11,normal
23,1.82,3,0,372.91,6.26,5.95,normal
6,0.76,3,1,344.34,2.53,4.4,normal
15,2.94,3,1,334.46,5.95,3.69,normal
