ip,timestamp,label,action,risk_score
103.249.222.184,2026-06-22T16:07:33.742567+00:00,sql_injection,blocked,92.0
91.103.106.87,2026-06-22T16:07:44.360500+00:00,sql_injection,monitored,55.0
103.226.91.243,2026-06-22T16:07:44.363790+00:00,ddos,rate_limited,72.0
80.100.230.138,2026-06-22T16:07:55.231291+00:00,malware,monitored,45.0
91.153.248.65,2026-06-22T16:08:05.496785+00:00,bruteforce,rate_limited,79.0
146.217.161.173,2026-06-22T16:08:15.105944+00:00,port_scan,monitored,59.0
89.242.74.159,2026-06-22T16:08:23.422303+00:00,ddos,monitored,57.0
146.90.223.43,2026-06-22T16:08:31.789959+00:00,sql_injection,monitored,61.0
185.250.72.51,2026-06-22T16:08:40.725464+00:00,malware,rate_limited,77.0
198.211.28.19,2026-06-22T16:08:50.044823+00:00,sql_injection,monitored,46.0
91.233.208.4,2026-06-22T16:09:01.633356+00:00,malware,monitored,65.0
89.46.223.44,2026-06-22T16:09:10.496262+00:00,sql_injection,rate_limited,80.0
91.83.50.251,2026-06-22T16:09:20.118517+00:00,bruteforce,rate_limited,73.0
185.206.209.125,2026-06-22T16:09:29.686996+00:00,port_scan,rate_limited,75.0
80.123.139.45,2026-06-22T16:09:39.735823+00:00,ddos,rate_limited,66.0
91.45.214.185,2026-06-22T16:09:49.913828+00:00,port_scan,rate_limited,71.0
194.43.159.58,2026-06-22T16:09:59.743638+00:00,port_scan,blocked,90
89.203.217.29,2026-06-22T16:10:11.038469+00:00,port_scan,rate_limited,84.0
198.245.119.4,2026-06-22T16:10:20.835219+00:00,malware,blocked,90
103.250.63.60,2026-06-22T16:10:30.052861+00:00,malware,rate_limited,72.0
194.6.6.151,2026-06-22T16:10:41.857864+00:00,port_scan,rate_limited,71.0
45.146.223.27,2026-06-22T16:10:52.364374+00:00,sql_injection,blocked,98.0
146.198.30.46,2026-06-22T16:11:01.323685+00:00,ddos,monitored,64.0
89.99.89.145,2026-06-22T16:11:12.989810+00:00,ddos,monitored,66.0
222.124.112.129,2026-06-22T16:11:23.014409+00:00,ddos,monitored,68.0
222.173.240.144,2026-06-22T16:11:31.575697+00:00,port_scan,blocked,96.0
91.246.153.226,2026-06-22T16:11:40.008681+00:00,bruteforce,blocked,96.0
222.229.179.244,2026-06-22T16:11:51.343451+00:00,sql_injection,blocked,90
185.195.222.39,2026-06-22T16:11:59.488450+00:00,ddos,blocked,96.0
194.11.50.32,2026-06-22T16:11:59.492374+00:00,bruteforce,monitored,74.0
222.40.208.130,2026-06-22T16:12:08.929634+00:00,bruteforce,blocked,92.0
185.17.233.37,2026-06-22T16:12:08.932887+00:00,ddos,rate_limited,65.0
45.116.202.221,2026-06-22T16:12:20.179512+00:00,ddos,blocked,90
80.167.25.45,2026-06-22T16:12:29.757211+00:00,bruteforce,monitored,53.0
80.47.211.171,2026-06-22T16:12:40.816090+00:00,bruteforce,monitored,56.0
103.133.99.97,2026-06-22T16:12:50.222159+00:00,port_scan,rate_limited,76.0
80.172.113.55,2026-06-22T16:13:00.946725+00:00,sql_injection,rate_limited,71.0
91.248.167.209,2026-06-22T16:13:10.063660+00:00,port_scan,monitored,46.0
89.239.52.136,2026-06-22T16:13:21.029919+00:00,sql_injection,rate_limited,82.0
89.151.201.102,2026-06-22T16:13:30.874442+00:00,bruteforce,monitored,68.0
89.86.11.131,2026-06-22T16:13:39.566787+00:00,port_scan,monitored,54.0
146.84.91.164,2026-06-22T16:13:49.935736+00:00,ddos,monitored,66.0
198.145.131.232,2026-06-22T16:13:59.749883+00:00,port_scan,blocked,96.0
222.200.159.176,2026-06-22T16:14:10.994175+00:00,sql_injection,monitored,68.0
185.180.181.221,2026-06-22T16:14:22.071232+00:00,ddos,rate_limited,83.0
103.152.11.182,2026-06-22T16:14:31.327874+00:00,malware,blocked,95.0
194.40.124.25,2026-06-22T16:14:42.725982+00:00,port_scan,monitored,68.0
89.167.83.182,2026-06-22T16:14:53.510754+00:00,bruteforce,rate_limited,81.0
91.133.42.31,2026-06-22T16:14:53.513852+00:00,malware,rate_limited,66.0
194.87.90.155,2026-06-22T16:15:02.498216+00:00,port_scan,monitored,60.0
198.190.223.24,2026-06-22T16:15:11.066300+00:00,bruteforce,monitored,46.0
91.89.139.12,2026-06-22T16:15:21.060068+00:00,bruteforce,blocked,91.0
45.195.164.5,2026-06-22T16:15:29.164963+00:00,ddos,blocked,90.0
80.157.201.87,2026-06-22T16:15:29.167862+00:00,port_scan,blocked,95.0
103.34.166.135,2026-06-22T16:15:40.638363+00:00,malware,blocked,95.0
45.146.194.34,2026-06-22T16:15:50.012119+00:00,ddos,blocked,90
194.99.241.157,2026-06-22T16:15:58.852087+00:00,port_scan,blocked,93.0
80.82.119.202,2026-06-22T16:15:58.857049+00:00,malware,rate_limited,70.0
222.103.166.141,2026-06-22T16:16:08.155216+00:00,port_scan,rate_limited,76.0
45.174.106.54,2026-06-22T16:16:16.439559+00:00,bruteforce,rate_limited,67.0
146.159.238.215,2026-06-22T16:16:27.460932+00:00,ddos,rate_limited,67.0
198.144.219.28,2026-06-22T16:16:35.570634+00:00,bruteforce,blocked,90
89.132.225.241,2026-06-22T16:16:47.066642+00:00,port_scan,monitored,46.0
89.171.121.174,2026-06-22T16:16:55.645728+00:00,ddos,monitored,54.0
80.1.168.93,2026-06-22T16:17:05.439765+00:00,port_scan,monitored,72.0
45.50.124.93,2026-06-22T16:17:14.534623+00:00,port_scan,blocked,90
80.128.88.10,2026-06-22T16:17:14.539682+00:00,malware,monitored,67.0
91.12.184.196,2026-06-22T16:17:25.023294+00:00,bruteforce,rate_limited,75.0
80.17.245.143,2026-06-22T16:17:35.319337+00:00,sql_injection,monitored,55.0
185.191.10.223,2026-06-22T16:17:46.168213+00:00,bruteforce,rate_limited,78.0
80.12.3.37,2026-06-22T16:17:57.437889+00:00,sql_injection,blocked,96.0
91.63.1.246,2026-06-22T16:18:06.925963+00:00,ddos,blocked,97.0
80.148.158.251,2026-06-22T16:18:18.901719+00:00,bruteforce,blocked,92.0
103.33.249.76,2026-06-22T16:18:18.905628+00:00,bruteforce,rate_limited,74.0
91.34.140.174,2026-06-22T16:18:27.309723+00:00,port_scan,rate_limited,76.0
185.241.36.63,2026-06-22T16:18:36.524648+00:00,port_scan,blocked,91.0
103.180.202.218,2026-06-22T16:18:47.989317+00:00,sql_injection,rate_limited,70.0
185.10.130.42,2026-06-22T16:18:58.355278+00:00,sql_injection,monitored,50.0
45.163.183.62,2026-06-22T16:19:09.318887+00:00,malware,monitored,64.0
198.136.177.8,2026-06-22T16:19:09.322256+00:00,malware,monitored,64.0
146.172.199.40,2026-06-22T16:19:17.821731+00:00,ddos,rate_limited,80.0
198.31.218.234,2026-06-22T16:19:26.748015+00:00,ddos,blocked,91.0
91.107.147.184,2026-06-22T16:19:37.939001+00:00,malware,monitored,50.0
45.82.229.17,2026-06-22T16:19:48.265623+00:00,malware,monitored,50.0
89.36.230.158,2026-06-22T16:19:57.743594+00:00,malware,monitored,52.0
80.248.157.31,2026-06-22T16:20:08.773870+00:00,port_scan,rate_limited,73.0
89.116.247.131,2026-06-22T16:20:08.776492+00:00,sql_injection,rate_limited,69.0
222.47.148.144,2026-06-22T16:20:17.903728+00:00,port_scan,monitored,54.0
222.254.165.41,2026-06-22T16:20:26.676564+00:00,ddos,rate_limited,78.0
45.82.236.83,2026-06-22T16:20:37.531269+00:00,bruteforce,rate_limited,81.0
146.218.127.122,2026-06-22T16:20:46.540955+00:00,port_scan,rate_limited,73.0
89.111.211.26,2026-06-22T16:20:58.558625+00:00,bruteforce,blocked,90
80.156.151.177,2026-06-22T16:20:58.562997+00:00,ddos,rate_limited,77.0
222.42.238.32,2026-06-22T16:21:06.822888+00:00,sql_injection,blocked,90
45.93.87.184,2026-06-22T16:21:17.499315+00:00,malware,blocked,90.0
80.79.45.241,2026-06-22T16:21:26.376337+00:00,sql_injection,monitored,48.0
185.212.215.197,2026-06-22T16:21:37.305272+00:00,bruteforce,blocked,90.0
146.219.86.3,2026-06-22T16:21:47.617901+00:00,sql_injection,rate_limited,70.0
80.240.230.216,2026-06-22T16:21:58.328307+00:00,bruteforce,rate_limited,83.0
91.121.152.211,2026-06-22T16:22:08.941227+00:00,port_scan,blocked,98.0
45.229.174.105,2026-06-22T16:22:08.944563+00:00,malware,monitored,47.0
185.222.118.170,2026-06-22T16:22:20.853182+00:00,malware,rate_limited,69.0
89.10.212.1,2026-06-22T16:22:29.188531+00:00,sql_injection,rate_limited,70.0
91.224.223.186,2026-06-22T16:22:29.191862+00:00,bruteforce,blocked,98.0
80.236.52.222,2026-06-22T16:22:38.309530+00:00,bruteforce,rate_limited,68.0
103.254.198.190,2026-06-22T16:22:48.161463+00:00,bruteforce,monitored,58.0
89.38.95.169,2026-06-22T16:22:58.252611+00:00,sql_injection,monitored,72.0
45.111.85.120,2026-06-22T16:23:07.465063+00:00,ddos,blocked,94.0
45.136.137.51,2026-06-22T16:23:16.512514+00:00,malware,rate_limited,73.0
194.166.149.171,2026-06-22T16:23:28.458911+00:00,malware,monitored,57.0
80.186.125.5,2026-06-22T16:23:28.462502+00:00,malware,monitored,54.0
185.141.110.59,2026-06-22T16:23:37.094038+00:00,ddos,blocked,90.0
194.246.231.248,2026-06-22T16:23:46.009234+00:00,malware,blocked,92.0
198.217.56.164,2026-06-22T16:23:55.622181+00:00,malware,rate_limited,72.0
194.75.119.16,2026-06-22T16:24:05.567577+00:00,sql_injection,rate_limited,77.0
185.13.14.222,2026-06-22T16:24:17.561168+00:00,bruteforce,blocked,94.0
91.25.37.130,2026-06-22T16:24:27.546005+00:00,port_scan,blocked,90
185.64.15.207,2026-06-22T16:24:37.600814+00:00,port_scan,blocked,94.0
146.207.117.148,2026-06-22T16:24:45.653709+00:00,malware,blocked,90
89.194.111.33,2026-06-22T16:24:56.577606+00:00,ddos,monitored,47.0
194.188.248.65,2026-06-22T16:25:04.767669+00:00,ddos,rate_limited,84.0
146.174.220.220,2026-06-22T16:25:13.382866+00:00,port_scan,blocked,90
146.215.159.205,2026-06-22T16:25:24.129325+00:00,malware,rate_limited,71.0
198.73.29.168,2026-06-22T16:25:24.131805+00:00,sql_injection,blocked,90
198.105.125.121,2026-06-22T16:25:33.423414+00:00,port_scan,rate_limited,81.0
80.149.197.10,2026-06-22T16:25:41.542843+00:00,sql_injection,rate_limited,68.0
103.169.159.110,2026-06-22T16:25:50.929742+00:00,port_scan,blocked,96.0
194.99.225.3,2026-06-22T16:25:59.942270+00:00,ddos,rate_limited,83.0
146.46.114.66,2026-06-22T16:26:09.557773+00:00,ddos,rate_limited,79.0
194.165.39.104,2026-06-22T16:26:09.560172+00:00,malware,monitored,69.0
222.246.20.95,2026-06-22T16:26:21.001113+00:00,bruteforce,rate_limited,81.0
185.18.221.19,2026-06-22T16:26:30.505958+00:00,bruteforce,rate_limited,69.0
198.203.187.133,2026-06-22T16:26:39.742126+00:00,port_scan,monitored,51.0
89.175.163.220,2026-06-22T16:26:51.564564+00:00,sql_injection,rate_limited,68.0
185.178.207.144,2026-06-22T16:26:59.835633+00:00,bruteforce,monitored,54.0
194.28.7.217,2026-06-22T16:27:09.958185+00:00,port_scan,blocked,93.0
222.143.200.251,2026-06-22T16:27:18.512028+00:00,malware,monitored,46.0
222.151.215.231,2026-06-22T16:27:29.751872+00:00,sql_injection,rate_limited,77.0
198.158.120.175,2026-06-22T16:27:39.641482+00:00,bruteforce,rate_limited,71.0
91.41.203.154,2026-06-22T16:27:48.260874+00:00,port_scan,blocked,90
89.240.20.74,2026-06-22T16:27:59.722427+00:00,bruteforce,monitored,52.0
198.98.130.190,2026-06-22T16:28:09.149099+00:00,port_scan,blocked,93.0
80.168.155.154,2026-06-22T16:28:09.152166+00:00,sql_injection,blocked,90
222.80.87.91,2026-06-22T16:28:20.941866+00:00,malware,blocked,97.0
103.152.119.147,2026-06-22T16:28:28.986072+00:00,malware,monitored,71.0
91.13.41.174,2026-06-22T16:28:28.988558+00:00,port_scan,monitored,63.0
194.221.102.14,2026-06-22T16:28:39.349814+00:00,port_scan,rate_limited,75.0
103.150.18.243,2026-06-22T16:28:39.352035+00:00,malware,monitored,61.0
185.86.47.63,2026-06-22T16:28:47.626899+00:00,bruteforce,rate_limited,82.0
146.100.5.71,2026-06-22T16:28:59.441536+00:00,sql_injection,blocked,93.0
185.161.58.8,2026-06-22T16:28:59.444607+00:00,port_scan,rate_limited,69.0
146.160.32.70,2026-06-22T16:29:09.067031+00:00,sql_injection,rate_limited,65.0
91.190.108.104,2026-06-22T16:29:09.069673+00:00,sql_injection,blocked,90
146.204.148.163,2026-06-22T16:29:19.994991+00:00,port_scan,rate_limited,73.0
185.49.161.164,2026-06-22T16:29:29.580137+00:00,port_scan,blocked,90
198.56.229.247,2026-06-22T16:29:29.583422+00:00,malware,rate_limited,69.0
103.55.198.12,2026-06-22T16:29:39.282606+00:00,sql_injection,monitored,70.0
222.241.229.1,2026-06-22T16:29:39.285590+00:00,malware,rate_limited,80.0
146.179.22.136,2026-06-22T16:29:51.048672+00:00,sql_injection,monitored,62.0
80.226.147.143,2026-06-22T16:30:00.272637+00:00,malware,monitored,64.0
194.155.207.197,2026-06-22T16:30:08.849262+00:00,ddos,rate_limited,82.0
185.112.119.195,2026-06-22T16:30:08.851874+00:00,sql_injection,blocked,92.0
103.199.173.104,2026-06-22T16:30:17.993539+00:00,ddos,rate_limited,65.0
45.146.189.176,2026-06-22T16:30:28.689569+00:00,bruteforce,blocked,91.0
185.213.117.39,2026-06-22T16:30:28.692750+00:00,sql_injection,monitored,45.0
103.3.63.178,2026-06-22T16:30:39.099515+00:00,bruteforce,blocked,90
89.100.183.22,2026-06-22T16:30:39.102230+00:00,malware,blocked,97.0
91.40.26.169,2026-06-22T16:30:50.036621+00:00,sql_injection,monitored,60.0
80.162.50.135,2026-06-22T16:31:01.760586+00:00,sql_injection,rate_limited,67.0
194.30.190.25,2026-06-22T16:31:12.335393+00:00,ddos,blocked,90.0
80.50.193.89,2026-06-22T16:31:23.462158+00:00,bruteforce,monitored,51.0
185.193.29.144,2026-06-22T16:31:33.247478+00:00,sql_injection,monitored,46.0
80.53.151.131,2026-06-22T16:31:44.668629+00:00,ddos,blocked,90.0
80.137.165.236,2026-06-22T16:31:44.672524+00:00,sql_injection,blocked,90
198.124.112.202,2026-06-22T16:31:55.464475+00:00,port_scan,monitored,50.0
185.144.6.142,2026-06-22T16:32:05.840744+00:00,ddos,rate_limited,71.0
80.203.150.98,2026-06-22T16:32:14.312796+00:00,ddos,blocked,96.0
89.146.189.238,2026-06-22T16:32:14.316126+00:00,malware,blocked,93.0
222.27.185.19,2026-06-22T16:32:23.105133+00:00,malware,rate_limited,73.0
103.119.242.83,2026-06-22T16:32:32.334047+00:00,malware,rate_limited,67.0
198.129.195.168,2026-06-22T16:32:41.057452+00:00,malware,monitored,56.0
45.244.229.154,2026-06-22T16:32:49.804988+00:00,ddos,blocked,90
198.109.54.93,2026-06-22T16:32:59.961293+00:00,bruteforce,blocked,97.0
222.226.25.167,2026-06-22T16:33:08.817901+00:00,sql_injection,rate_limited,75.0
45.112.100.40,2026-06-22T16:33:08.820904+00:00,sql_injection,rate_limited,76.0
194.217.151.52,2026-06-22T16:33:20.445650+00:00,sql_injection,blocked,95.0
89.227.52.203,2026-06-22T16:33:30.864176+00:00,bruteforce,rate_limited,83.0
198.114.212.246,2026-06-22T16:33:39.628718+00:00,port_scan,rate_limited,65.0
45.21.34.241,2026-06-22T16:33:49.028437+00:00,bruteforce,blocked,94.0
89.148.226.80,2026-06-22T16:33:49.032349+00:00,sql_injection,monitored,64.0
89.132.43.150,2026-06-22T16:33:58.724607+00:00,port_scan,rate_limited,65.0
89.31.146.75,2026-06-22T16:33:58.727170+00:00,malware,monitored,66.0
80.186.107.119,2026-06-22T16:34:09.545659+00:00,malware,monitored,66.0
146.32.143.147,2026-06-22T16:34:09.549071+00:00,ddos,blocked,90
45.35.177.3,2026-06-22T16:34:18.262596+00:00,ddos,rate_limited,82.0
194.215.109.91,2026-06-22T16:34:29.280565+00:00,ddos,monitored,56.0
194.155.155.239,2026-06-22T16:34:29.282681+00:00,malware,blocked,90.0
194.60.207.213,2026-06-22T16:34:37.863546+00:00,ddos,rate_limited,78.0
146.169.58.133,2026-06-22T16:34:46.878367+00:00,sql_injection,rate_limited,80.0
185.221.246.103,2026-06-22T16:34:56.721579+00:00,sql_injection,monitored,55.0
194.205.66.231,2026-06-22T16:35:06.170325+00:00,bruteforce,blocked,93.0
89.183.193.40,2026-06-22T16:35:14.732889+00:00,bruteforce,blocked,92.0
91.36.67.161,2026-06-22T16:35:24.813202+00:00,ddos,monitored,74.0
103.87.187.71,2026-06-22T16:35:34.578580+00:00,bruteforce,monitored,54.0
89.143.1.234,2026-06-22T16:35:45.981883+00:00,bruteforce,blocked,95.0
80.242.18.233,2026-06-22T16:35:56.319875+00:00,malware,rate_limited,83.0
194.93.47.133,2026-06-22T16:36:07.975310+00:00,bruteforce,monitored,59.0
89.175.31.239,2026-06-22T16:36:16.506076+00:00,sql_injection,blocked,97.0
103.50.160.58,2026-06-22T16:36:26.040836+00:00,malware,blocked,96.0
91.249.2.99,2026-06-22T16:36:37.725436+00:00,malware,rate_limited,68.0
198.133.25.46,2026-06-22T16:36:47.466580+00:00,ddos,monitored,72.0
103.243.133.30,2026-06-22T16:36:58.552934+00:00,port_scan,blocked,97.0
91.217.20.224,2026-06-22T16:36:58.556582+00:00,sql_injection,monitored,74.0
185.222.245.226,2026-06-22T16:37:10.232643+00:00,bruteforce,monitored,66.0
80.69.245.123,2026-06-22T16:37:18.855988+00:00,malware,monitored,51.0
222.238.70.183,2026-06-22T16:37:18.859434+00:00,sql_injection,rate_limited,80.0
80.185.195.58,2026-06-22T16:37:29.712238+00:00,port_scan,monitored,63.0
103.36.51.237,2026-06-22T16:37:38.440123+00:00,ddos,rate_limited,65.0
146.26.220.107,2026-06-22T16:37:49.629336+00:00,bruteforce,monitored,72.0
222.46.17.157,2026-06-22T16:37:49.631990+00:00,sql_injection,monitored,63.0
89.156.98.232,2026-06-22T16:38:01.321598+00:00,ddos,blocked,90
146.122.35.247,2026-06-22T16:38:11.272209+00:00,ddos,blocked,95.0
80.234.16.174,2026-06-22T16:38:20.293880+00:00,sql_injection,blocked,93.0
91.75.234.57,2026-06-22T16:38:31.661000+00:00,malware,rate_limited,79.0
91.184.236.25,2026-06-22T16:38:40.765340+00:00,port_scan,monitored,55.0
91.202.157.135,2026-06-22T16:38:50.412533+00:00,port_scan,monitored,58.0
80.66.84.150,2026-06-22T16:38:59.661775+00:00,bruteforce,monitored,69.0
146.249.248.170,2026-06-22T16:39:10.160313+00:00,sql_injection,rate_limited,71.0
89.39.62.198,2026-06-22T16:39:18.699457+00:00,bruteforce,blocked,91.0
185.244.183.181,2026-06-22T16:39:18.702800+00:00,port_scan,rate_limited,73.0
185.201.232.207,2026-06-22T16:39:27.847895+00:00,bruteforce,rate_limited,79.0
198.5.20.37,2026-06-22T16:39:39.688982+00:00,port_scan,rate_limited,65.0
45.142.132.247,2026-06-22T16:39:50.174464+00:00,ddos,monitored,45.0
194.36.144.183,2026-06-22T16:39:58.434044+00:00,sql_injection,blocked,96.0
80.209.28.236,2026-06-22T16:40:07.456012+00:00,malware,rate_limited,69.0
198.232.60.115,2026-06-22T16:40:16.789030+00:00,port_scan,monitored,61.0
194.252.100.211,2026-06-22T16:40:25.112699+00:00,port_scan,monitored,67.0
198.213.185.162,2026-06-22T16:40:33.386926+00:00,malware,monitored,63.0
103.211.75.215,2026-06-22T16:40:42.908842+00:00,malware,rate_limited,77.0
80.210.252.56,2026-06-22T16:40:51.138479+00:00,port_scan,blocked,90
89.233.93.208,2026-06-22T16:41:00.040856+00:00,malware,monitored,60.0
185.178.70.184,2026-06-22T16:41:11.674515+00:00,ddos,rate_limited,77.0
194.160.120.190,2026-06-22T16:41:21.213914+00:00,port_scan,monitored,61.0
89.155.83.249,2026-06-22T16:41:32.822808+00:00,bruteforce,monitored,63.0
103.108.143.139,2026-06-22T16:41:42.437562+00:00,malware,blocked,95.0
185.209.140.206,2026-06-22T16:41:54.091066+00:00,ddos,blocked,91.0
45.207.164.133,2026-06-22T16:41:54.094208+00:00,port_scan,monitored,70.0
89.49.184.22,2026-06-22T16:42:03.128200+00:00,ddos,rate_limited,77.0
198.154.1.155,2026-06-22T16:42:11.519171+00:00,malware,rate_limited,67.0
91.204.14.186,2026-06-22T16:42:20.359441+00:00,sql_injection,blocked,90
